table_name	column_index	column_name	column_title	datatype	scale	precision	nullable	default_value	is_auto_inc	fk_table	fk_column_name	is_required	input_type	input_length	onChange	is_data_column	is_display_column	is_key_field	column_text	optionlist_query	url
BMRK_experiment	1	experiment_id	Experiment ID	int	4	0	N		Y			N				N	N	N			pkDEFAULT
BMRK_experiment	2	contact_id	Contact	int	4	0	N		N	contact	contact_id	Y	optionlist	 		Y	Y	N	Primary contact for this experiment	"SELECT contact_id, last_name+', '+first_name+' ('+organization+')' AS ""name"" FROM $TB_CONTACT C INNER JOIN $TB_ORGANIZATION O ON ( C.organization_id = O.organization_id ) ORDER BY last_name,first_name,organization"	
BMRK_experiment	3	project_id	Project	int	4	0	N		N	project	project_id	Y	optionlist			Y	Y	N	Project to which the experiment belongs	"SELECT DISTINCT P.project_id,UL.username+' - '+P.name FROM $TB_PROJECT P LEFT JOIN $TB_USER_LOGIN UL ON ( P.PI_contact_id=UL.contact_id ) WHERE P.record_status != 'D' AND P.project_id IN ( $accessible_project_ids ) ORDER BY UL.username+' - '+P.name,P.project_id "	
BMRK_experiment	4	experiment_name	Experiment Name	varchar	36	0	N		N			Y	text	36		Y	Y	Y	Experiment name or title		
BMRK_experiment	5	experiment_description	Experiment Description	text	16	0	Y		N			N	textarea	4		Y	Y	N	"Description of this experiment, the sample or samples used, and any other relevant information not contained in the project description or in list-box elements in this form"		
BMRK_experiment	6	experiment_path	Experiment Path	varchar	255	0	Y		N			N	text	48		Y	Y	N	Data path for this experiment (e.g. /data/search/edeutsch/TCells/T_000/human_nci)		
BMRK_experiment	7	investigators	Investigators	varchar	255	0	Y		N			N	text	48		Y	Y	N	List of investigators for this project		
BMRK_experiment	8	experiment_type_id	Experiment Type	int	4	0	Y		N	experiment_type	experiment_type_id	Y	optionlist			Y	Y	N	"Type/class of experiment (e.g. d0/d8 ICAT, etc.)"	"SELECT experiment_type_id, experiment_type_name FROM $TBPR_EXPERIMENT_TYPE ORDER BY sort_order,experiment_type_name"	
BMRK_experiment	9	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N			N				N	N	N			
BMRK_experiment	10	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id	N				N	N	N			
BMRK_experiment	11	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N			N				N	N	N			
BMRK_experiment	12	modified_by_id	Record Modified By	int	4	0	N	1	N	contact	contact_id	N				N	N	N			
BMRK_experiment	13	owner_group_id	Owner Group ID	int	4	0	N	1	N	work_group	work_group_id	N				N	N	N			
BMRK_experiment	14	record_status	Record Status	char	1	0	N	N	N			N				N	N	N			
BMRK_experiment_type	1	experiment_type_id	Experiment Type ID	int	4	0	N		Y			N				N	N	N			pkDEFAULT
BMRK_experiment_type	2	experiment_type	Experiment Type	varchar	36	0	Y		N			Y	text	36		Y	Y	Y	"Type/class of experiment (e.g. d0/d8 ICAT, etc.)"		pkDEFAULT
BMRK_experiment_type	3	experiment_type_description	Experiment type description	text	16	0	Y		N			N	textarea	4		Y	Y	N	Description of this experiment type		pkDEFAULT
BMRK_experiment_type	4	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N			N				N	N	N			
BMRK_experiment_type	5	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id	N				N	N	N			
BMRK_experiment_type	6	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N			N				N	N	N			
BMRK_experiment_type	7	modified_by_id	Record Modified By	int	4	0	N	1	N	contact	contact_id	N				N	N	N			
BMRK_experiment_type	8	owner_group_id	Owner Group ID	int	4	0	N	1	N	work_group	work_group_id	N				N	N	N			
BMRK_experiment_type	9	record_status	Record Status	char	1	0	N	N	N			N				N	N	N			
BMRK_biosource	1	biosource_id	Experiment ID	int	4	0	N		Y			N				N	N	N			pkDEFAULT
BMRK_biosource	2	biosource_name	Experiment Name	varchar	36	0	N		N			Y	text	36		Y	Y	Y	Name of this Biosource		
BMRK_biosource	3	age	Age of source organism	int	4	0	Y		N			N	text	12		Y	Y	N	Age of organism from which sample was collected		
BMRK_biosource	4	age_units	Age Units	char	5	0	Y		N			N	optionlist			Y	Y	N	Units for age value		
BMRK_biosource	5	organism_id	Genus and species of source	int	4	0	N		N	organism	organism_id	Y	optionlist			Y	Y	N	genus/species of organism 		
BMRK_biosource	6	organization_id	Organization from which source was obtained	int	4	0	Y		N	organization	organization_id	N	optionlist			Y	Y	N	Organization which provided the samples (if any)		
BMRK_biosource	7	external_id	Identifier defined by external organization	varchar	64	0	Y		N			N	text	36		Y	Y	N	sample identifier (if any) from external organization		
BMRK_biosource	8	patient_id	Identifier of patient or donor	varchar	64	0	Y		N			N	text	36		Y	Y	N	 patient identifier (if any) from external organization		
BMRK_biosource	9	biosource_description	Biosource Description	text	16	0	Y		N			N	textarea	4		Y	Y	N	Description of Biosource		pkDEFAULT
BMRK_biosource	10	experiment_id	Experiment	int	4	0	Y		N	experiment	experiment_id	N	optionlist			Y	Y	N	Experiment with which this biosource is associated		
BMRK_biosource	11	well_id	Well ID	char	3	0	Y		N			N	text	12		Y	Y	N	Well coordinates for this sample on the microtiter plate		
BMRK_biosource	12	setup_order	Setup Order	int	4	0	Y		N			N	text	12		Y	Y	N	Random order in which sample is prepared		
BMRK_biosource	13	ms_run_order	MS Run Order	int	4	0	Y		N			N	text	12		Y	Y	N	Random order in which sample is to be run on MS		
BMRK_biosource	14	source_type	Source Type	varchar	64	0	Y		N			N	text	36		Y	Y	N	Type of source material, e.g. serum, plasma, etc.		
BMRK_biosource	15	date_created	Date Record Created	datetime	8	0	N	CURRENT_TIMESTAMP	N			N				N	N	N			
BMRK_biosource	16	created_by_id	Record Created By	int	4	0	N	1	N	contact	contact_id	N				N	N	N			
BMRK_biosource	17	date_modified	Date Record Modified	datetime	8	0	N	CURRENT_TIMESTAMP	N			N				N	N	N			
BMRK_biosource	18	modified_by_id	Record Modified By	int	4	0	N	1	N	contact	contact_id	N				N	N	N			
BMRK_biosource	19	owner_group_id	Owner Group ID	int	4	0	N	1	N	work_group	work_group_id	N				N	N	N			
BMRK_biosource	20	record_status	Record Status	char	1	0	N	N	N			N				N	N	N			
BMRK_biosample	1	biosample_id	Biosample ID	int	4	0	N		Y			N				N	N	N			pkDEFAULT
BMRK_biosample	2	biosample_name	Biosample Name	varchar	36	0	N		N			Y	text	36		Y	Y	Y	Name of this Biosample		
BMRK_biosample	3	biosource_id	Biosource_id	int	4	0	N		N	biosource	biosource_id	Y	optionlist			Y	Y	N	ID of biosample		
